entity_type,recommendation,id_a,label_a,id_b,label_b,similarity,reason
Food,uncertain,LLM:ibd-maid_diet,IBD-MAID diet,LLM:mi-ibd_diet,Mi-IBD diet,91.7,one token differs: maid/mi
Food,uncertain,LLM:schisandrin,Schisandrin,LLM:schisandrin_b,Schisandrin B,91.7,extra term ['b']
Bioactive,uncertain,LLM:fu_brick_tea_polysaccharide,Fu brick tea polysaccharide,LLM:fuzhuan_brick_tea_polysaccharide,Fuzhuan brick tea polysaccharide,91.5,one token differs: fu/fuzhuan
Food,uncertain,LLM:exclusive_enteral_nutrition,Exclusive enteral nutrition,LLM:exclusive_enteral_nutrition_diet,exclusive enteral nutrition diet,91.5,extra term ['diet']
Bioactive,uncertain,CHEBI:28834,Deoxycholic acid,LLM:hyodeoxycholic_acid,hyodeoxycholic acid,91.4,one token differs: deoxycholic/hyodeoxycholic
Bioactive,uncertain,CHEBI:16325,Lithocholic acid,LLM:isolithocholic_acid,isolithocholic acid,91.4,one token differs: lithocholic/isolithocholic
Bioactive,uncertain,LLM:taurodeoxycholic_acid,taurodeoxycholic acid,LLM:tauroursodeoxycholic_acid,tauroursodeoxycholic acid,91.3,one token differs: taurodeoxycholic/tauroursodeoxycholic
Food,uncertain,LLM:chitosan_oligosaccharides,Chitosan oligosaccharides,LLM:chitooligosaccharides,chitooligosaccharides,91.3,"multiple tokens differ: ['chitosan', 'oligosaccharide'] vs ['chitooligosaccharide']"
Bioactive,uncertain,LLM:astragalus_polysaccharide,Astragalus polysaccharide,LLM:astragalus_polysaccharide_aps1,Astragalus polysaccharide APS1,90.9,extra term ['aps1']
Bioactive,uncertain,LLM:iqw_peptide,IQW peptide,LLM:irw_peptide,IRW peptide,90.9,one token differs: iqw/irw
Bioactive,uncertain,CHEBI:16946,L-Kynurenine,LLM:kynurenine,kynurenine,90.9,extra term ['l']
Bioactive,uncertain,LLM:schisandra_chinensis_pectin_polysaccharide,Schisandra chinensis pectin polysaccharide,LLM:schisandra_chinensis_polysaccharide,Schisandra chinensis polysaccharide,90.9,extra term ['pectin']
Bioactive,uncertain,LLM:sodium_butyrate,sodium butyrate,LLM:sodium_isobutyrate,sodium isobutyrate,90.9,one token differs: butyrate/isobutyrate
Bioactive,uncertain,LLM:sodium_isobutyrate,sodium isobutyrate,LLM:sodium-butyrate,sodium-butyrate,90.9,one token differs: isobutyrate/butyrate
Food,uncertain,LLM:9-strains_probiotic_formulation,9-strains probiotic formulation,LLM:five_strains_probiotics_formulation,Five strains probiotics formulation,90.9,one token differs: 9/five
Food,uncertain,LLM:baitouweng_decoction,Baitouweng decoction,LLM:new_baitouweng_decoction,New Baitouweng Decoction,90.9,extra term ['new']
Food,uncertain,LLM:laminaria_japonica_fucoidan_low_molecular_weight,Laminaria japonica fucoidan (low molecular weight),LLM:laminaria_japonica_fucoidan_medium_molecular_weight,Laminaria japonica fucoidan (medium molecular weight),90.9,one token differs: low/medium
Food,uncertain,LLM:resolvin_d1,Resolvin D1,LLM:resolvin_d2,Resolvin D2,90.9,one token differs: d1/d2
Food,uncertain,LLM:acetyl_l-carnitine,acetyl l-carnitine,LLM:acetylcarnitine,acetylcarnitine,90.9,"multiple tokens differ: ['acetyl', 'carnitine', 'l'] vs ['acetylcarnitine']"
Food,uncertain,FOODON:03315361,adzuki bean,LLM:azuki_beans,azuki beans,90.9,one token differs: adzuki/azuki
Food,uncertain,LLM:bovine_milk-derived_extracellular_vesicles,bovine milk-derived extracellular vesicles,LLM:milk-derived_extracellular_vesicles,milk-derived extracellular vesicles,90.9,extra term ['bovine']
Bioactive,uncertain,LLM:atractylodes_macrocephala_koidz_polysaccharide,Atractylodes macrocephala Koidz polysaccharide,LLM:atractylodis_macrocephala_polysaccharide,Atractylodis Macrocephala polysaccharide,90.7,"multiple tokens differ: ['atractylode', 'koidz'] vs ['atractylodi']"
Bioactive,uncertain,LLM:n-3_polyunsaturated_fatty_acid,n-3 polyunsaturated fatty acid,LLM:omega-3_polyunsaturated_fatty_acid,omega-3 polyunsaturated fatty acid,90.6,one token differs: n/omega
Food,uncertain,LLM:lacticaseibacillus_rhamnosus_g7,Lacticaseibacillus rhamnosus G7,LLM:lacticaseibacillus_rhamnosus_hao9,Lacticaseibacillus rhamnosus Hao9,90.6,one token differs: g7/hao9
Bioactive,uncertain,LLM:isoallolithocholic_acid,isoallolithocholic acid,LLM:isolithocholic_acid,isolithocholic acid,90.5,one token differs: isoallolithocholic/isolithocholic
IBD_Outcome,uncertain,LLM:dextran_sodium_sulfate-induced_colitis,dextran sodium sulfate-induced colitis,LLM:dextran_sulfate_sodium-induced_chronic_colitis,dextran sulfate sodium-induced chronic colitis,90.5,extra term ['chronic']
IBD_Outcome,uncertain,LLM:dextran_sulfate_sodium-induced_chronic_colitis,dextran sulfate sodium-induced chronic colitis,LLM:dextran_sulfate_sodium-induced_colitis,dextran sulfate sodium-induced colitis,90.5,extra term ['chronic']
Bioactive,uncertain,LLM:exopolysaccharide,exopolysaccharide,LLM:polysaccharide,polysaccharide,90.3,one token differs: exopolysaccharide/polysaccharide
Food,uncertain,LLM:butyl-fructooligosaccharides,Butyl-fructooligosaccharides,LLM:butyrylated_fructooligosaccharides,Butyrylated fructooligosaccharides,90.3,one token differs: butyl/butyrylated
Food,uncertain,LLM:sijunzi_decoction,Sijunzi Decoction,LLM:sini_decoction,Sini decoction,90.3,one token differs: sijunzi/sini
Food,uncertain,LLM:low_dietary_fiber,low dietary fiber,LLM:low_fiber_diet,low fiber diet,90.3,one token differs: dietary/diet
Food,uncertain,LLM:low_dietary_fiber,low dietary fiber,LLM:low-fiber_diet,low-fiber diet,90.3,one token differs: dietary/diet
IBD_Outcome,uncertain,LLM:crohn_s_disease_ileitis,Crohn's disease ileitis,LLM:crohn_s_disease-like_ileitis,Crohn's disease-like ileitis,90.2,extra term ['like']
Bioactive,uncertain,LLM:phellinus_linteus_acidic_polysaccharide,Phellinus linteus acidic polysaccharide,LLM:phellinus_linteus_polysaccharide,Phellinus linteus polysaccharide,90.1,extra term ['acidic']
Bioactive,uncertain,CHEBI:17053,L-Aspartate,LLM:aspartate,aspartate,90.0,extra term ['l']
Bioactive,uncertain,CHEBI:15971,L-Histidine,LLM:histidine,histidine,90.0,extra term ['l']
Bioactive,uncertain,LLM:chenodeoxycholic_acid,chenodeoxycholic acid,LLM:hyodeoxycholic_acid,hyodeoxycholic acid,90.0,one token differs: chenodeoxycholic/hyodeoxycholic
Food,uncertain,LLM:raspberry_pectin_p37,raspberry pectin P37,LLM:raspberry_pectin_p55,raspberry pectin P55,90.0,one token differs: p37/p55
